Ticket_ID,Student_ID,Category,Complaint_Text,Priority,Status,Date_Submitted,Unnamed: 0.1,Unnamed: 0
TCKT0001,S10001,Financial Support,المصاريف دي عاملاني مشاكل كبيرة، والردود مش موجودة أبداً.,Medium,Open,2024-09-05,,
TCKT0002,S10015,Student Affairs,السكن الجامعي غير ملائم بتاتاً، والنظافة في أسوأ حال.,High,In Progress,2024-09-07,,
TCKT0003,S10022,Academic Support and Resources,أحتاج تفاصيل أكثر عن طريقة استخدام المختبر لأني محتار.,Low,Open,2024-09-10,,
TCKT0004,S10009,IT,خدمة الإنترنت في المكتبة غير ثابتة، وهذا يعيق تحضير الأبحاث.,Urgent,Open,2024-09-08,,
TCKT0005,S10011,Financial Support,تتغير الفواتير دون إبلاغ، وهذا غير مقبول ويجب تصحيحه فوراً.,High,In Progress,2024-10-01,,
TCKT0006,S10018,Student Affairs,الأنشطة الطلابية غير منسقة، والانتظام فيها شبه معدوم!,Medium,Open,2024-09-25,,
TCKT0007,S10014,Academic Support and Resources,المكتبة مغلقة كثيرًا فوق المواعيد المحددة في جدول الاستخدام.,Low,Open,2024-12-15,,
TCKT0008,S10021,IT,لا أستطيع تسجيل الدخول إلى حسابي بالرغم من صحة البيانات.,High,In Progress,2025-01-10,,
TCKT0009,S10005,Financial Support,أخذت المنحة متأخراً جدًا، وكانت مضغوطة لي الدراسة في الفترة دي.,Urgent,Open,2024-11-03,,
TCKT0010,S10030,Student Affairs,النظافة في الكافتيريا سيئة جدا، وده بيأثر على صحتنا بشدة.,Medium,In Progress,2024-10-20,,
TCKT0011,S10012,Academic Support and Resources,أستاذ المادة مش واضح في الشرح، محتاج دعم إضافي عشان أفهم.,Medium,Open,2024-10-22,,
TCKT0012,S10017,IT,الأجهزة في معمل الحاسوب متوقفة كتير، ومفيش صيانة دورية.,Low,Open,2025-02-05,,
TCKT0013,S10028,Financial Support,في مشكلة في دفع الرسوم الدراسية، النظام مش بيقبل المبلغ.,Medium,Open,2024-11-15,,
TCKT0014,S10035,Student Affairs,علاقة الطلاب بإدارة السكن ضعيفة، مفيش حلول حقيقية للشكاوى.,High,In Progress,2024-10-28,,
TCKT0015,S10040,Academic Support and Resources,مواعيد التدريبات غير مناسبة، وأثروا على الجدول الدراسي.,Medium,Open,2025-03-14,,
TCKT0016,S10027,IT,برنامج التسجيل بيعلق باستمرار لما بفتحه على الكمبيوتر الخاص بي.,High,In Progress,2024-12-01,,
TCKT0017,S10013,Financial Support,مفيش شفافية في المنح، ولا نعرف هل هي كاملة ولا مش كاملة.,Medium,Resolved,2024-10-04,,
TCKT0018,S10023,Student Affairs,الحياة في الحرم الجامعي متعبة جدًا، لازم يكون في تنظيم أفضل.,Medium,Open,2024-09-30,,
TCKT0019,S10019,Academic Support and Resources,محتاج دعم في المكتبة لأن الكتب المطلوبة مش متوفرة.,High,In Progress,2025-01-20,,
TCKT0020,S10016,IT,الراوتر في القاعة الرقمية مش بيشتغل كويس، النت بيتقطع كتير.,Urgent,Open,2024-09-18,,
TCKT0021,S10029,Financial Support,أريد توضيح عن طريقة حساب الأقساط، لأنها مش واضحة للطلاب.,Low,Resolved,2024-11-22,,
TCKT0022,S10032,Student Affairs,النادي الرياضي مش بيوفر أدوات بشكل كافي للطلاب المهتمين.,Medium,Open,2024-12-25,,
TCKT0023,S10036,Academic Support and Resources,المختبرات مش مجهزة كويس، والأدوات قديمة جداً.,High,In Progress,2025-02-15,,
TCKT0024,S10034,IT,المساعدة التقنية بطيئة، لما أحتاج دعم مفيش سرعة في الرد.,Medium,Open,2025-03-05,,
TCKT0025,S10038,Financial Support,دفعات المساعدات المالية ما بتوصلش في الوقت المناسب للأسف.,Medium,In Progress,2024-11-07,,
TCKT0026,S10045,Student Affairs,قوانين السكن مش واضحة، وبيحصل خلافات بسببها.,High,Open,2025-01-30,,
TCKT0027,S10047,Academic Support and Resources,برامج التدريس الإلكترونية مش متطورة ولسه معتمدة على الطرق القديمة.,Medium,Open,2024-12-28,,
TCKT0028,S10050,IT,الجهاز الخاص بي فيه مشاكل في البرنامج التعليمي الإلكتروني.,High,In Progress,2025-02-22,,
TCKT0029,S10044,Financial Support,إجراءات منح القروض معقدة جداً وبتاخد وقت طويل.,Medium,Resolved,2025-03-02,,
TCKT0030,S10042,Student Affairs,الترفيه في الحرم ضعيف، ولا يوجد فعاليات مناسبة.,Low,Open,2025-04-10,,
TCKT0031,S10039,Academic Support and Resources,المحاضرات عبر الإنترنت تعاني من مشاكل تقنية مستمرة.,Urgent,In Progress,2024-10-12,,
TCKT0032,S10033,IT,المنصة التعليمية بتتوقف فجأة وده بيخرب دراستنا.,High,Open,2024-11-29,,
TCKT0033,S10041,Financial Support,تأخير في صرف القروض الطلابية، الأمر ده بيأثر على التزاماتي.,Medium,Open,2025-01-11,,
TCKT0034,S10037,Student Affairs,مشاكل في مواقف السيارات وعدم وجود أماكن كافية.,Low,Resolved,2025-02-12,,
TCKT0035,S10026,Academic Support and Resources,متطلبات البحث العلمي غير واضحة، ونحتاج توجيه أفضل.,Medium,In Progress,2024-10-14,,
TCKT0036,S10020,IT,تحديثات النظام متأخرة وأحياناً بتسبب أعطال في استخدام منصات الجامعة.,Medium,Open,2024-09-26,,
TCKT0037,S10024,Financial Support,المستندات المطلوبة للمساعدة غامضة ولا توجد إرشادات واضحة.,High,Open,2024-10-18,,
TCKT0038,S10031,Student Affairs,مستوى الأمن في الحرم ضعيف، وده بيخلي الطلاب يحسوا بعدم الأمان.,Urgent,In Progress,2025-01-27,,
TCKT0039,S10043,Academic Support and Resources,تجهيزات المختبر قديمة وغير صالحة للعمل العلمي.,Medium,Open,2025-03-09,,
TCKT0040,S10046,IT,مشاكل تسجيل الدخول متكررة ومزعجة خلال تسجيل المواد.,High,In Progress,2024-12-11,,
TCKT0041,S10048,Financial Support,المبالغ في الفواتير مش واضحة وبعضها بيتيجي زيادة.,Medium,Open,2025-01-05,,
TCKT0042,S10049,Student Affairs,المواصلات بين الكليات متقطعة وغير منتظمة بالمرة.,Low,Open,2024-09-19,,
TCKT0043,S10025,Academic Support and Resources,الحصول على استشارة أكاديمية بيأخذ وقت طويل جداً.,Medium,Open,2025-04-01,,
TCKT0044,S10007,IT,الدعم الفني لما بتطلبه بيتأخر جداً، وده بيأثر على دراستي.,High,Open,2024-11-12,,
TCKT0045,S10006,Financial Support,خطأ في تحصيل الرسوم، لازم تصحيحه بسرعة.,Urgent,In Progress,2025-03-20,,
TCKT0046,S10008,Student Affairs,غياب الأنشطة الثقافية مؤثر على تطور الطلاب.,Low,Open,2024-10-05,,
TCKT0047,S10003,Academic Support and Resources,الموارد التعليمية الرقمية متوفرة بشكل محدود.,Medium,Open,2025-02-25,,
TCKT0048,S10004,IT,التطبيق الخاص بحجز القاعات غير مستقر ولا يعمل بشكل جيد.,High,In Progress,2024-12-29,,
TCKT0049,S10002,Financial Support,حبس رسوم التأخير متكرر رغم توضيحاتنا.,Medium,Open,2024-11-18,,
TCKT0050,S10010,Student Affairs,الإنارة في الممرات ضعيفة جداً، وده بيأثر على السلامة.,Medium,Open,2024-09-29,,
TCKT0051,S10051,Financial Support,الدعم المالي متأخر شهور والشهادة بتتأخر بسبب كده.,Urgent,Open,2024-09-12,,
TCKT0052,S10052,Student Affairs,صيانة الأثاث في السكن غير منتظمة، وأحيانًا بيكسروا حاجات كتير.,Medium,In Progress,2024-10-03,,
TCKT0053,S10053,Academic Support and Resources,برنامج الجامعة لا يدعم المواد الجديدة بشكل جيد.,Medium,Open,2024-11-10,,
TCKT0054,S10054,IT,مش لاقي طريقة سهلة لاسترجاع كلمة المرور، ده بيخلي النظام معقد.,High,Open,2025-01-18,,
TCKT0055,S10055,Financial Support,في خصم مش ظاهر في كشف الحساب الأخير، محتاج توضيح.,Medium,Resolved,2024-11-25,,
TCKT0056,S10056,Student Affairs,الازدحام في الكافتيريا مستمر ومافيش تنظيم مناسب.,Medium,Open,2024-12-20,,
TCKT0057,S10057,Academic Support and Resources,مواعيد الدروس الإضافية غير مناسبة مع جدولنا الأصلي.,Low,Open,2025-01-08,,
TCKT0058,S10058,IT,التسجيل على المنصة يتم بطريقة معقدة ومربكة للطلاب.,Medium,In Progress,2025-02-14,,
TCKT0059,S10059,Financial Support,التأخير في صرف المنح بيسبب مشاكل كثيرة للطلاب.,High,Open,2025-03-03,,
TCKT0060,S10060,Student Affairs,إدارة النادي مش بتسمع للشكاوى، والأنشطة قليلة لهذا السبب.,Medium,Open,2025-03-27,,
TCKT0061,S10061,Academic Support and Resources,المكتبة مش بتوفر ساعات كفاية للدراسة النهارية.,Medium,Open,2024-10-15,,
TCKT0062,S10062,IT,السيرفر بينقطع باستمرار وده بيأثر على تدفق المحاضرات.,Urgent,In Progress,2024-09-21,,
TCKT0063,S10063,Financial Support,الرسوم الشهرية غير واضحة والدفعات مش مرتبة.,Medium,Open,2024-10-28,,
TCKT0064,S10064,Student Affairs,النظافة في الحمامات ضعيفة وهذي مشكلة بتقلل من راحة الطلبة.,High,In Progress,2025-01-02,,
TCKT0065,S10065,Academic Support and Resources,محتاجين دعم أكاديمي في مادة الرياضيات اللي صعبة جداً.,Medium,Open,2024-11-05,,
TCKT0066,S10066,IT,مشاكل في تحميل ملفات المحاضرات من المنصة مستمرة.,Medium,Open,2025-02-11,,
TCKT0067,S10067,Financial Support,أريد فهم أسهل لطريقة حساب المنح والإعانات.,Low,Resolved,2025-03-18,,
TCKT0068,S10068,Student Affairs,تأخر صيانة المعدات الرياضية يؤثر على النشاطات.,Medium,Open,2024-12-30,,
TCKT0069,S10069,Academic Support and Resources,الكتب المطلوبة مش متوفرة في المكتبة الرقمية.,High,In Progress,2024-10-19,,
TCKT0070,S10070,IT,الدعم الفني للأنظمة الإلكترونية ما بيردش بسرعة.,Medium,Open,2025-01-15,,
TCKT0071,S10071,Financial Support,الرسوم المالية مش واضحة في حسابي، وأحتاج توضيح.,Medium,Open,2024-11-19,,
TCKT0072,S10072,Student Affairs,الأضواء في ممرات الحرم ضعيفة جدًا ويسبب مخاطر.,Urgent,Open,2025-02-27,,
TCKT0073,S10073,Academic Support and Resources,اللوائح الأكاديمية تحتاج لتحديث يتماشى مع متطلبات الطلبة.,Medium,Open,2024-09-26,,
TCKT0074,S10074,IT,التحديثات المستمرة للنظام بتوقف الدراسة بين الحين والآخر.,High,Open,2025-03-06,,
TCKT0075,S10075,Financial Support,تأجيل دفع الفواتير لازم يكون أوضح وميسر أكثر للطلاب.,Low,Resolved,2024-12-08,,
TCKT0076,S10076,Student Affairs,المواصلات من وإلى الجامعة سيئة جدًا وتحتاج تحسين.,Medium,Open,2025-01-23,,
TCKT0077,S10077,Academic Support and Resources,مواعيد الاستشارات الأكاديمية مش مرتبة وبتأثر على الطلبة.,Medium,Open,2024-10-07,,
TCKT0078,S10078,IT,في أخطاء تظهر عند محاولة تسجيل الدخول بشكل متكرر.,High,In Progress,2024-11-30,,
TCKT0079,S10079,Financial Support,المساعدات المالية مش بتوصل لجميع الطلاب المحتاجين.,Medium,Open,2025-02-08,,
TCKT0080,S10080,Student Affairs,الأسعار في الكافتيريا مرتفعة مقارنة بجودة الطعام.,Low,Open,2025-03-11,,
TCKT0081,S10081,Academic Support and Resources,برامج التدريب غير كافية وبتحتاج تطوير عاجل.,Medium,Open,2024-09-14,,
TCKT0082,S10082,IT,المنصة التعليمية بتنزل مواد ناقصة أو غير محدثة.,High,In Progress,2025-01-09,,
TCKT0083,S10083,Financial Support,التقارير المالية مش واضحة ومحتاجة شرح أفضل.,Medium,Open,2024-11-21,,
TCKT0084,S10084,Student Affairs,الاشتراك في النوادي صعب بسبب الإجراءات المعقدة.,Medium,Open,2024-12-12,,
TCKT0085,S10085,Academic Support and Resources,مدرس المادة غير متعاون أحيانًا ويصعب التواصل معه.,High,Open,2025-02-20,,
TCKT0086,S10086,IT,التطبيق الخاص بالجامعة على الموبايل بطيء جدًا وأحيانًا لا يعمل.,Medium,Open,2024-10-09,,
TCKT0087,S10087,Financial Support,في خصم مالي لم يصل إلى حسابي بالرغم من استحقاقي.,High,In Progress,2024-11-01,,
TCKT0088,S10088,Student Affairs,عدد أماكن وقوف السيارات قليل جدًا مقارنة بعدد الطلاب.,Low,Open,2025-03-29,,
TCKT0089,S10089,Academic Support and Resources,الدورات التدريبية قصيرة ومفيش متابعة مستمرة.,Medium,Open,2025-01-31,,
TCKT0090,S10090,IT,الأجهزة في معمل الكمبيوتر قديمة ومش بتتعامل مع البرامج الحديثة.,Medium,Open,2024-09-22,,
TCKT0091,S10091,Financial Support,التسوية المالية بطيئة للغاية، وبتأخر إتمام الإجراءات.,Medium,In Progress,2024-10-26,,
TCKT0092,S10092,Student Affairs,الفعاليات الثقافية قليلة جدا ولا تشجع المشاركة.,Low,Open,2025-02-19,,
TCKT0093,S10093,Academic Support and Resources,المحاضرات أونلاين بتتوقف والأنترنت ضعيف في القاعات.,Urgent,Open,2024-11-17,,
TCKT0094,S10094,IT,الدعم الفني لا يرد على المسائل المتعلقة بالنظام الإلكتروني بسرعة.,High,In Progress,2024-12-14,,
TCKT0095,S10095,Financial Support,عدم وضوح في إجراءات الاسترداد المالي يسبب إرباك للطلاب.,Medium,Open,2025-01-06,,
TCKT0096,S10096,Student Affairs,الإضاءة في الممرات ضعيفة، وده بيشكل خطر على السلامة العامة.,Medium,Open,2025-03-21,,
TCKT0097,S10097,Academic Support and Resources,المختبرات العلمية تعاني من نقص الأدوات والتمويل.,High,In Progress,2024-12-03,,
TCKT0098,S10098,IT,تسجيل الدخول للمنصة التعليمية معقد ويحتاج تبسيط.,Medium,Open,2024-10-11,,
TCKT0099,S10099,Financial Support,المصاريف الإضافية غير معلن عنها مسبقاً وتسبب ضغطاً مالياً.,Medium,Open,2025-02-28,,
TCKT0100,S10100,Student Affairs,ضغط الطلاب على السكن الجامعي كبير، ولا يوجد دعم كافي.,High,Open,2024-09-27,,
TCKT0101,S10101,Financial Support,في مشكلة في خصم الرسوم التلقائية، وده مأثر على الحساب.,Medium,In Progress,2025-03-12,,
TCKT0102,S10102,Student Affairs,الصيانة في السكن لا تتم إلا بعد تقديم شكاوى كثيرة.,High,Open,2024-10-16,,
TCKT0103,S10103,Academic Support and Resources,الأساتذة مش بيردوا على استفساراتنا في البريد الإلكتروني.,Medium,Open,2024-11-08,,
TCKT0104,S10104,IT,البرنامج الخاص بالتسجيل بينهار مع بداية كل فصل دراسي.,High,In Progress,2024-12-05,,
TCKT0105,S10105,Financial Support,التأخير في صرف المنح بيسبب ضغط مالي كبير على الطلبة.,Urgent,Open,2024-09-28,,
TCKT0106,S10106,Student Affairs,الأنشطة الطلابية قليلة ومافيش تنوع بيخلي المشاركين قليلين.,Medium,Open,2025-01-21,,
TCKT0107,S10107,Academic Support and Resources,المكتبة الرقمية مش بتوفر كل الكتب المطلوبة للمقررات.,High,Open,2024-11-29,,
TCKT0108,S10108,IT,الشبكة في الحرم بطيئة جدًا وبتسبب تأخير في المحاضرات.,Urgent,In Progress,2024-09-15,,
TCKT0109,S10109,Financial Support,في مشكلة في تسوية القروض الطلابية وعدم وضوح الإجراءات.,Medium,Open,2025-02-23,,
TCKT0110,S10110,Student Affairs,الإنارة في الممرات غير كافية ودي خطر كبير للطلاب.,High,Open,2024-10-21,,
TCKT0111,S10111,Academic Support and Resources,محتاجين تدريب عملي أكتر في المخبر والتجارب العملية.,Medium,Open,2025-03-07,,
TCKT0112,S10112,IT,الدخول للنظام بيتم رفضه بشكل غير مبرر، محتاج حل سريع.,High,In Progress,2024-12-22,,
TCKT0113,S10113,Financial Support,التكاليف الإضافية للمواد مش مذكورة في بداية الفصل الدراسي.,Medium,Open,2024-09-23,,
TCKT0114,S10114,Student Affairs,الصالة الرياضية غير نظيفة والأجهزة كثيرًا فيها أعطال.,Medium,In Progress,2025-01-13,,
TCKT0115,S10115,Academic Support and Resources,المحاضرات المسجلة مش كاملة أو محذوفة أحياناً.,High,Open,2024-11-19,,
TCKT0116,S10116,IT,الدعم الفني بطيء جداً وردوده مش بتغطي المشاكل كلها.,Medium,Open,2025-02-06,,
TCKT0117,S10117,Financial Support,عدم وضوح في شروط القروض وعدم توافر توجيه كافي.,Low,Resolved,2024-12-18,,
TCKT0118,S10118,Student Affairs,الترتيبات في القاعات مش منظمة وبتأثر على راحتنا.,Medium,Open,2024-10-10,,
TCKT0119,S10119,Academic Support and Resources,الكتب القديمة في المكتبة ما تعدتش للصيانة، وده بيأثر جودة الدراسة.,Medium,Open,2025-01-25,,
TCKT0120,S10120,IT,مشاكل في تحميل ملفات المحاضرات من المنصة باستمرار.,Urgent,In Progress,2024-09-20,,
TCKT0121,S10121,Financial Support,خصم الرسوم مش واضح وأنا محتاج إفادة رسمية.,Medium,Open,2024-10-15,,
TCKT0122,S10122,Student Affairs,الازدحام في أماكن الاستراحة بيخلي الوضع غير مريح أبداً.,Medium,Open,2025-02-28,,
TCKT0123,S10123,Academic Support and Resources,عديد من المواد الدراسية غير متاحة في النظام الإلكتروني.,High,Open,2024-11-25,,
TCKT0124,S10124,IT,المنصة الإلكترونية متوقفة في أوقات الدراسة، وده بيخليها غير مفيدة.,High,In Progress,2025-01-04,,
TCKT0125,S10125,Financial Support,المواعيد المحددة لتسديد الرسوم ضيقة ومش مناسبة للطلاب.,Low,Resolved,2024-12-09,,
TCKT0126,S10126,Student Affairs,توفير النقل من وإلى الحرم مش في مستوى التوقعات.,Medium,Open,2025-03-26,,
TCKT0127,S10127,Academic Support and Resources,استشارات الأكاديميين متوفرة ساعات قليلة ومش كفاية للجميع.,Medium,Open,2024-11-12,,
TCKT0128,S10128,IT,تسجيل الدخول للنظام معقد وبيأخذ وقت طويل، محتاج تبسيط.,High,In Progress,2024-10-02,,
TCKT0129,S10129,Financial Support,مشاكل في دفع الأقساط عبر الإنترنت كثيرة وبتأثر على الطلبة.,Medium,Open,2025-02-12,,
TCKT0130,S10130,Student Affairs,الطعام في الكافتيريا جودته ضعيفة والأسعار عالية.,Low,Open,2025-03-05,,
TCKT0131,S10131,Academic Support and Resources,دورات التعليم عن بعد تحتاج تطوير أكثر لتواكب التحديات.,Medium,Open,2024-09-28,,
TCKT0132,S10132,IT,المواد التعليمية على المنصة مش محدثة ومتأخرة جداً.,High,In Progress,2024-11-20,,
TCKT0133,S10133,Financial Support,التقارير الخاصة بالرسوم مش دقيقة وبتسبب لبس.,Medium,Open,2025-01-15,,
TCKT0134,S10134,Student Affairs,إجراءات الانضمام للنوادي معقدة ومافيش دعم كافي.,Medium,Open,2025-02-17,,
TCKT0135,S10135,Academic Support and Resources,التواصل مع المدرسين في بعض المواد صعب جدا.,High,Open,2024-12-04,,
TCKT0136,S10136,IT,تطبيق الجامعة على الموبايل مش بيشتغل بشكل صحيح أحياناً.,Medium,Open,2025-03-01,,
TCKT0137,S10137,Financial Support,تأخر في صرف المنح بيأثر بشكل كبير على الميزانية الشخصية.,High,In Progress,2024-10-19,,
TCKT0138,S10138,Student Affairs,مواقف السيارات قليلة وسوء التنظيم يسبب مشاكل يومية.,Low,Open,2025-01-30,,
TCKT0139,S10139,Academic Support and Resources,الدورات التدريبية قصيرة ولا تكفي لتغطية المادة العلمية.,Medium,Open,2024-09-23,,
TCKT0140,S10140,IT,المختبر الرقمي يعاني من أعطال متكررة.,Medium,Open,2024-12-28,,
TCKT0141,S10141,Financial Support,التأخير في أخذ الموافقات المالية معيق جداً.,Medium,In Progress,2024-11-09,,
TCKT0142,S10142,Student Affairs,الفعاليات الطلابية ليست متنوعة وغير جذابة.,Low,Open,2025-03-22,,
TCKT0143,S10143,Academic Support and Resources,توقف المحاضرات الأونلاين بشكل مفاجئ متكرر.,Urgent,Open,2024-10-17,,
TCKT0144,S10144,IT,الدعم الفني لا يتعامل مع المشاكل بشكل سريع.,High,In Progress,2024-11-28,,
TCKT0145,S10145,Financial Support,الشروط المتعلقة بالمساعدات غير واضحة ومتغيرة.,Medium,Open,2025-01-11,,
TCKT0146,S10146,Student Affairs,الإضاءة في الساحات سيئة جداً وغير كافية للسلامة.,Medium,Open,2024-09-29,,
TCKT0147,S10147,Academic Support and Resources,المختبرات تفتقر لأدوات حديثة ومتطورة.,High,In Progress,2024-12-16,,
TCKT0148,S10148,IT,تسجيل الدخول في المنصة الإلكترونية صعب ومعقد.,Medium,Open,2025-02-10,,
TCKT0149,S10149,Financial Support,المصاريف تكون أحياناً غير متوقعة ومُربكة.,Medium,Open,2024-10-22,,
